frame,pin_LED,type_LED,value_LED
39,6,digital_pwm,244
39,6,digital_pwm,241
40,6,digital_pwm,241
40,6,digital_pwm,238
41,6,digital_pwm,238
41,6,digital_pwm,234
42,6,digital_pwm,234
42,6,digital_pwm,231
43,6,digital_pwm,231
43,6,digital_pwm,227
44,6,digital_pwm,227
44,6,digital_pwm,222
45,6,digital_pwm,222
45,6,digital_pwm,218
46,6,digital_pwm,218
46,6,digital_pwm,213
47,6,digital_pwm,213
47,6,digital_pwm,208
48,6,digital_pwm,208
48,6,digital_pwm,202
49,6,digital_pwm,202
49,6,digital_pwm,197
50,6,digital_pwm,197
50,6,digital_pwm,191
51,6,digital_pwm,191
51,6,digital_pwm,185
52,6,digital_pwm,185
52,6,digital_pwm,179
53,6,digital_pwm,179
53,6,digital_pwm,173
54,6,digital_pwm,173
54,6,digital_pwm,167
55,6,digital_pwm,167
55,6,digital_pwm,160
56,6,digital_pwm,160
56,6,digital_pwm,154
57,6,digital_pwm,154
57,6,digital_pwm,147
58,6,digital_pwm,147
58,6,digital_pwm,141
59,6,digital_pwm,141
59,6,digital_pwm,134
60,6,digital_pwm,134
60,6,digital_pwm,128
61,6,digital_pwm,128
61,6,digital_pwm,121
62,6,digital_pwm,121
62,6,digital_pwm,114
63,6,digital_pwm,114
63,6,digital_pwm,108
64,6,digital_pwm,108
64,6,digital_pwm,101
65,6,digital_pwm,101
65,6,digital_pwm,95
66,6,digital_pwm,95
66,6,digital_pwm,88
67,6,digital_pwm,88
67,6,digital_pwm,82
68,6,digital_pwm,82
68,6,digital_pwm,76
69,6,digital_pwm,76
69,6,digital_pwm,70
70,6,digital_pwm,70
70,6,digital_pwm,64
71,6,digital_pwm,64
71,6,digital_pwm,58
72,6,digital_pwm,58
72,6,digital_pwm,53
73,6,digital_pwm,53
73,6,digital_pwm,47
74,6,digital_pwm,47
74,6,digital_pwm,42
75,6,digital_pwm,42
75,6,digital_pwm,37
76,6,digital_pwm,37
76,6,digital_pwm,33
77,6,digital_pwm,33
77,6,digital_pwm,28
78,6,digital_pwm,28
78,6,digital_pwm,24
79,6,digital_pwm,24
79,6,digital_pwm,21
80,6,digital_pwm,21
80,6,digital_pwm,17
81,6,digital_pwm,17
81,6,digital_pwm,14
82,6,digital_pwm,14
82,6,digital_pwm,11
83,6,digital_pwm,11
83,6,digital_pwm,8
84,6,digital_pwm,8
84,6,digital_pwm,6
85,6,digital_pwm,6
85,6,digital_pwm,4
86,6,digital_pwm,4
86,6,digital_pwm,3
87,6,digital_pwm,3
87,6,digital_pwm,2
88,6,digital_pwm,2
88,6,digital_pwm,1
89,6,digital_pwm,1
89,6,digital_pwm,0
90,6,digital_pwm,0
90,6,digital_pwm,0
91,6,digital_pwm,0
91,6,digital_pwm,0
92,6,digital_pwm,0
92,6,digital_pwm,1
93,6,digital_pwm,1
93,6,digital_pwm,2
94,6,digital_pwm,2
94,6,digital_pwm,3
95,6,digital_pwm,3
95,6,digital_pwm,4
96,6,digital_pwm,4
96,6,digital_pwm,6
97,6,digital_pwm,6
97,6,digital_pwm,8
98,6,digital_pwm,8
98,6,digital_pwm,11
99,6,digital_pwm,11
99,6,digital_pwm,14
100,6,digital_pwm,14
100,6,digital_pwm,17
101,6,digital_pwm,17
101,6,digital_pwm,21
102,6,digital_pwm,21
102,6,digital_pwm,24
103,6,digital_pwm,24
103,6,digital_pwm,28
104,6,digital_pwm,28
104,6,digital_pwm,33
105,6,digital_pwm,33
105,6,digital_pwm,37
106,6,digital_pwm,37
106,6,digital_pwm,42
107,6,digital_pwm,42
107,6,digital_pwm,47
108,6,digital_pwm,47
108,6,digital_pwm,53
109,6,digital_pwm,53
109,6,digital_pwm,58
110,6,digital_pwm,58
110,6,digital_pwm,64
111,6,digital_pwm,64
111,6,digital_pwm,70
112,6,digital_pwm,70
112,6,digital_pwm,76
113,6,digital_pwm,76
113,6,digital_pwm,82
114,6,digital_pwm,82
114,6,digital_pwm,88
115,6,digital_pwm,88
115,6,digital_pwm,95
116,6,digital_pwm,95
116,6,digital_pwm,101
117,6,digital_pwm,101
117,6,digital_pwm,108
118,6,digital_pwm,108
118,6,digital_pwm,114
119,6,digital_pwm,114
119,6,digital_pwm,121
120,6,digital_pwm,121
120,6,digital_pwm,127
